iter	MultiClass	F1:class=0	F1:class=1
0	0.6420307762	0.9514399832	0.91886196
1	0.5957812236	0.968816745	0.9500342231
2	0.5559813212	0.9685022498	0.9499489275
3	0.5197806951	0.9677973379	0.9490835031
4	0.4917844252	0.9653837884	0.9454791737
5	0.463543899	0.9676174137	0.9486569194
6	0.4393389456	0.9697619558	0.9520571234
7	0.4158171397	0.9715508021	0.9545920109
8	0.3944729777	0.9724064171	0.9559576647
9	0.3759646773	0.971758665	0.9549488055
10	0.3586441038	0.9726261762	0.956284153
11	0.3435601182	0.9732620321	0.9573233185
12	0.3330577863	0.9732848899	0.9572649573
13	0.3199327334	0.9723946073	0.9559877175
14	0.3085126579	0.9726027397	0.9563437926
15	0.2974634444	0.9726261762	0.956284153
16	0.2871687937	0.9730538922	0.9569672131
17	0.2777443789	0.9730654126	0.956937799
18	0.2689375016	0.9739316239	0.9582763338
19	0.2615955652	0.9739427595	0.9582477755
20	0.2548712175	0.9750266809	0.9599177801
21	0.2478554631	0.9756825939	0.9609053498
22	0.2423982513	0.9756722151	0.9609321453
23	0.2368758885	0.9756722151	0.9609321453
24	0.2309704184	0.9758907617	0.9612615701
25	0.2254354591	0.975234842	0.9602739726
26	0.2197702167	0.9752242631	0.9603011636
27	0.2150290946	0.9752242631	0.9603011636
28	0.2106024126	0.9754535752	0.9606029462
29	0.2066523109	0.9750160154	0.9599452242
30	0.2022561061	0.9752242631	0.9603011636
31	0.198422509	0.9752242631	0.9603011636
32	0.1943791389	0.9754325999	0.9606568594
33	0.190542993	0.9756410256	0.9610123119
34	0.1868838975	0.9758495405	0.9613675214
35	0.1832108066	0.9760581445	0.961722488
36	0.1797771555	0.9764756202	0.962431694
37	0.1769539733	0.9764856776	0.962406015
38	0.1740761425	0.9764756202	0.962431694
39	0.1709538716	0.9771220868	0.9634437991
40	0.1679305391	0.9773407439	0.963773069
41	0.1649655561	0.9773407439	0.963773069
42	0.1626512414	0.977768277	0.964456596
43	0.1599787713	0.9779867493	0.9647863248
44	0.1576634416	0.9779867493	0.9647863248
45	0.1555469428	0.9779867493	0.9647863248
46	0.1532454913	0.9779867493	0.9647863248
47	0.1511713924	0.9788597053	0.9661074974
48	0.1495292693	0.9788597053	0.9661074974
49	0.147683116	0.9784234138	0.9654464591
50	0.1458231544	0.9786324786	0.9658002736
51	0.1439293104	0.9790508764	0.966507177
52	0.1423941012	0.9794871795	0.9671682627
53	0.1408251357	0.9790598291	0.9664842681
54	0.139391189	0.9792779321	0.9668149162
55	0.1376487371	0.9796965163	0.9675213675
56	0.136162323	0.9801409353	0.9681615885
57	0.1348713237	0.9801409353	0.9681615885
58	0.1334589013	0.9803586678	0.9684931507
59	0.1318621755	0.9803586678	0.9684931507
60	0.1298195672	0.9812126388	0.9698630137
61	0.1278563772	0.9818492419	0.9709003766
62	0.126404816	0.9818414869	0.9709202874
63	0.1247452927	0.9820512821	0.9712722298
64	0.1233718042	0.9822611669	0.9716239316
65	0.1219165572	0.9828986746	0.97265892
66	0.120169768	0.9831160504	0.972991453
67	0.1182716115	0.983536455	0.9736932012
68	0.1171100546	0.9837537409	0.974025974
69	0.1157116717	0.983970934	0.9743589744
70	0.1142305199	0.984181274	0.974709501
71	0.1128586157	0.9843983757	0.975042735
72	0.1115527653	0.984181274	0.974709501
73	0.1104832239	0.984181274	0.974709501
74	0.10896013	0.9846022241	0.9754098361
75	0.1076965811	0.9854514335	0.9767918089
76	0.1065108063	0.9854514335	0.9767918089
77	0.1050935548	0.9858793325	0.9774744027
78	0.104232011	0.9858793325	0.9774744027
79	0.1029385706	0.9863072315	0.9781569966
80	0.1017895874	0.9865182966	0.9785056295
81	0.1008672138	0.9867351305	0.9788395904
82	0.099728282	0.9871575342	0.9795361528
