iter	Passed	Remaining
0	380	66147
1	546	47271
2	709	40688
3	905	38729
4	1089	37049
5	1271	35819
6	1455	34921
7	1627	33980
8	1828	33734
9	2011	33196
10	2195	32737
11	2369	32185
12	2384	29720
13	2550	29331
14	2728	29104
15	2925	29069
16	3097	28789
17	3283	28637
18	3481	28582
19	3490	27049
20	3682	27008
21	3874	26942
22	4060	26831
23	4247	26725
24	4429	26574
25	4594	26332
26	4762	26103
27	4949	25984
28	5147	25913
29	5341	25819
30	5535	25712
31	5719	25560
32	5903	25404
33	6085	25237
34	6271	25084
35	6453	24918
36	6642	24775
37	6828	24620
38	7031	24521
39	7214	24350
40	7399	24185
41	7575	23987
42	7760	23823
43	7946	23658
44	8139	23513
45	8311	23308
46	8500	23150
47	8662	22919
48	8839	22730
49	8988	22471
50	9170	22295
51	9337	22087
52	9540	21960
53	9726	21795
54	9916	21635
55	10107	21478
56	10300	21323
57	10499	21179
58	10681	21001
59	10874	20841
60	11082	20712
61	11279	20557
62	11471	20394
63	11660	20224
64	11846	20047
65	12028	19864
66	12229	19713
67	12420	19544
68	12611	19374
69	12790	19185
70	12972	19001
71	13147	18808
72	13325	18618
73	13500	18426
74	13669	18225
75	13842	18031
76	14025	17850
77	14205	17666
78	14389	17485
79	14563	17293
80	14747	17114
81	14931	16934
82	15096	16733
83	15264	16536
84	15422	16329
85	15606	16150
86	15806	15988
87	16019	15837
88	16203	15656
89	16381	15471
90	16575	15300
91	16758	15119
92	16944	14939
93	17126	14757
94	17310	14577
95	17474	14380
96	17634	14180
97	17817	13999
98	17995	13814
99	18174	13630
100	18347	13442
101	18519	13254
102	18721	13086
103	18914	12913
104	19098	12732
105	19286	12554
106	19458	12366
107	19667	12200
108	19847	12017
109	20062	11855
110	20268	11686
111	20452	11504
112	20636	11322
113	20833	11147
114	21044	10979
115	21377	10873
116	21577	10696
117	21761	10511
118	21939	10324
119	22107	10132
120	22279	9942
121	22458	9756
122	22624	9564
123	22813	9382
124	22998	9199
125	23201	9022
126	23393	8841
127	23568	8654
128	23750	8469
129	23934	8285
130	24117	8100
131	24293	7913
132	24464	7725
133	24661	7545
134	24857	7365
135	25075	7190
136	25288	7014
137	25497	6836
138	25703	6656
139	25889	6472
140	26074	6287
141	26259	6102
142	26428	5914
143	26617	5730
144	26794	5543
145	27006	5364
146	27215	5183
147	27401	4998
148	27595	4815
149	27776	4629
150	27957	4443
151	28134	4257
152	28297	4068
153	28463	3881
154	28634	3694
155	28809	3508
156	29015	3326
157	29209	3142
158	29378	2956
159	29559	2771
160	29748	2586
161	29936	2402
162	30095	2215
163	30261	2029
164	30434	1844
165	30610	1659
166	30769	1474
167	30942	1289
168	31130	1105
169	31310	920
170	31475	736
171	31644	551
172	31827	367
173	32000	183
174	32176	0
